Formatstand;Nachrichtentyp;PruefID;Bezeichnung;Segmentinstanzen;Datenelemente;Codewerte;bedingte Segmente;AHB-Zeilen;Quelldatei;Tabellenlayout
202604;Berichte/IFTSTA;21040;Info Entsperrauftrag;12;31;29;0;59;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21042;Bestellung (WiM);12;31;27;0;57;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21043;Bestellungsantwort / - mitteilung;14;36;37;0;73;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21044;Bestellungsbeendigung;12;31;27;0;58;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21045;EnFG Informationen;19;47;46;0;128;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/IFTSTA;21047;Bearbeitungs- standsmeldung;13;33;51;1;85;AHB_IFTSTA_2.0h_20251001_20260930_20251001_ooox_11632.docx;tabs
202604;Berichte/INSRPT;23001;Störungs-meldung;19;44;45;0;92;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23003;Ablehnung;13;32;28;0;61;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23004;Bestäti-gung;16;39;33;0;71;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23005;Informations-meldung;14;35;30;0;64;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23008;Ergebnis-bericht;16;41;41;1;80;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23009;Informations-meldung;16;41;40;1;79;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23011;Informations-meldung;15;37;29;0;65;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Berichte/INSRPT;23012;Informations-meldung;17;43;40;1;81;AHB_INSRPT_1.1g_20230330_99991231_20251211_oxox_12008.docx;nested
202604;Bestellvorgang/ORDCHG;39000;Stornierung Sperr-/Entsperr- auftrag;10;27;28;0;54;AHB_ORDCHG_1.0a_20250606_20260930_20250606_ooox_11100.docx;tabs
202604;Bestellvorgang/ORDCHG;39001;Weiterleitung der Stornierung;11;29;29;0;58;AHB_ORDCHG_1.0a_20250606_20260930_20250606_ooox_11100.docx;tabs
202604;Bestellvorgang/ORDCHG;39002;Stornierung der Bestellung;10;27;25;0;51;AHB_ORDCHG_1.0a_20250606_20260930_20250606_ooox_11100.docx;tabs
202604;Bestellvorgang/ORDERS;17001;"Bestellung
Geräteübernahmeangebot";13;32;29;0;63;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17002;Weiterverpflichtung;13;32;30;0;62;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17003;"Beauftragung
Änderung Technik";17;40;37;0;78;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17004;"Anforderung
von Werten";15;33;34;0;68;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17005;"Bestellung
Rechnungsabwicklung
MSB über LF";14;33;29;0;62;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17006;"Beendigung
Rechnungsabwicklung
MSB über LF";15;33;31;0;65;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17007;Bestellung von Werten;12;30;28;0;57;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17008;Abbestellung von Werten;12;30;27;0;56;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17009;"Anzeige
Gerätewechsel-
absicht";16;35;39;0;77;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17011;"Bestellung Angebot
Änderung Technik";28;67;55;0;125;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17101;"Anfrage
Stammdaten
Marktlokation (Gas)";17;43;32;0;80;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17102;"Anfrage
von Werten";15;35;36;0;71;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17103;"Anforderung
Brennwert /
Zustandszahl";15;35;30;0;65;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17104;"Anfrage vom
MSB Gas";12;33;26;0;60;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17110;Anforderung Allokationsliste;11;28;27;0;53;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17113;Reklamation von Werten;20;47;43;0;90;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17114;"Anforderung
bilanzierte Menge";14;34;29;0;63;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17115;Sperrauftrag;16;42;33;0;76;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17116;"Anfrage
Sperrung";15;39;31;0;72;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17117;"Entsperr-
auftrag";15;37;31;0;71;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17118;"Bestellung einer
Konfigurations-
änderung";20;46;43;0;88;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17120;"Bestellung Änderung
Prognosegrundlage";15;33;30;0;65;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17121;"Bestellung
Änderung";44;81;84;0;174;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17122;"Reklamation
einer Definition";16;38;35;0;78;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17123;"Bestellung Änderung
Zählzeitdefinition";16;38;35;0;73;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17126;"Anfrage
Stammdaten
Messlokation (Gas)";16;41;32;0;77;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17128;"Reklamation
einer Konfiguration";33;78;64;0;148;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17129;"Bestellung Beendigung
einer Konfiguration";12;31;27;0;58;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17130;"Bestellung
einer Konfiguration";31;75;55;0;135;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17131;"Bestellung Angebot
einer Konfiguration";10;26;24;0;50;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17132;Anfrage Stammdaten (Strom);11;27;25;0;52;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17133;"Bestellung Änderung
Abrechnungsdaten";19;46;36;0;81;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17134;"Einrichtung Konfiguration
Zuordnung LF von NB";47;93;94;0;199;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17135;"Einrichtung Konfiguration
Zuordnung LF von MSB";24;57;50;0;112;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17201;"Anforder.
normierter
Profile und
Profil-
scharen";12;27;29;0;58;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17202;"Anforder.
Liefer-
anten-
clearing-
liste";15;36;32;0;69;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17203;"Anforder.
Bilanz-
kreiszu-
ordnungs-
liste";15;36;33;0;69;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17204;"Anforder.
Clearing-
liste
BAS";14;33;28;0;63;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17205;"Anforder.
Clearing-
liste
DZR";14;33;28;0;63;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17206;"Anforderung
Bilanzie-
rungsgebiets
clearingliste";15;36;32;0;69;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17207;"Ab-/Bestellung
BK-SZR auf Aggre-
gationsebene RZ";13;31;28;0;60;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17208;"Anforderung
Clearingliste
ÜNB-DZR";14;33;28;0;63;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17209;"Anforderung
Ausfallarbeit";15;36;30;0;67;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17210;"Anforderung
Lieferanten-
ausfallarbeits-
clearingliste";15;36;32;0;69;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17211;"Reklamation
Profile bzw. Profilscharen";11;29;26;0;54;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDERS;17301;"Anforderung
von Stammdaten
bzw. Messwerten";14;32;31;0;62;AHB_ORDERS_1.1a_20260401_20260930_20260401_ooox_11934.docx;nested
202604;Bestellvorgang/ORDRSP;19001;"Bestätigung
Bestellung";12;31;30;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19002;"Ablehnung
Bestellung";12;31;30;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19003;"Bestätigung
Weiterverpflichtung";12;31;30;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19004;"Ablehnung
Weiterverpflichtung";12;31;30;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19005;"Bestätigung Auftrag
Änderung Technik";12;31;35;0;66;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19006;"Ablehnung Auftrag
Änderung Technik";16;41;41;0;81;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19007;"Ablehnung
Anforderung Werte";12;29;31;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19009;"Bestätigung
Beendigung
Rechnungsab-
wicklung MSB";13;32;29;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19010;"Ablehnung
Beendigung
Rechnungsab-
wicklung MSB";13;32;29;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19011;"Bestäti-gung
der Ab-/Bestellung
von Werten";15;34;31;0;69;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19012;"Ablehnung
der Ab-/Bestellung
von Werten";12;29;29;0;59;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19013;"Bestäti-gung
der Stornier-ung
einer Bestellung";11;28;25;0;54;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19014;"Ablehnung
der Stornier-ung
einer Bestellung";11;28;25;0;54;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19015;"Bestätigung
Geräte-
wechsel-
absicht";12;35;32;0;68;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19016;"Ablehnung
Geräte-
wechsel-
absicht";12;31;34;0;66;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19101;"Ablehnung der
Anfrage Stammdaten";11;28;30;0;59;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19102;"Ablehnung der
Anfrage Werte";12;29;34;0;64;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19103;"Ablehnung der Anfrage
Brennwert / Zustandszahl";12;29;26;0;56;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19104;"Ablehnung
der Anfrage
vom MSB Gas";11;28;25;0;54;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19110;"Ablehnung der
Anforderung
Allokationsliste";12;29;26;0;56;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19114;Ablehnung Reklamation;12;29;34;0;64;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19115;"Ablehnung
der Anforderung
bilanzierte Menge";11;28;25;0;54;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19116;"Bestätigung
Sperr-/Entsperr-
auftrag";16;38;37;0;77;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19117;"Ablehnung
Sperr-/Entsperr-
auftrag";12;30;32;0;63;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19118;"Bestätigung
Anfrage Sperrung";11;28;28;0;57;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19119;"Ablehnung
Anfrage Sperrung";12;30;29;0;60;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19120;"Mitteilung zur
Änderung";12;30;26;0;57;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19121;"Mitteilung zur Änderung
Prognosegrundlage";12;30;26;0;57;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19123;"Ablehnung Reklamation
einer Definition";14;34;35;0;72;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19124;"Mitteilung zur
Änderung
Zählzeitdefinition";12;30;27;0;58;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19127;"Mitteilung zur
Konfigurations-
änderung";12;30;27;0;58;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19128;"Bestätigung
Stornierung
Sperr-/Entsperr-
auftrag";11;28;29;0;58;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19129;"Ablehnung
Stornierung
Sperr-/Entsperr-
auftrag";11;28;29;0;58;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19130;"Bearbeitungsstand
Reklamation Konfiguration";13;33;30;0;63;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19131;"Mitteilung zur
Beendigung Konfiguration";12;30;28;0;59;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19132;"Mitteilung zur
Bestellung
Konfiguration";12;30;29;0;60;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19133;"Bearbeitungsstand
Bestellung Änderung
Abrechnungsdaten";12;30;26;0;57;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19204;"Ablehnung
Ab-/Bestellung
Aggrega-
tionsebene";11;28;26;0;55;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19301;"Abl. der
Anforderung";13;30;30;0;61;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/ORDRSP;19302;"Best. der
Anforderung
zum Beenden
des Abos zur
Stammdaten
bz";13;30;29;0;60;AHB_ORDRSP_1.1a_20260401_20260930_20260401_ooox_11937.docx;nested
202604;Bestellvorgang/QUOTES;15001;Angebot Geräteübernahme;44;84;129;0;221;AHB_QUOTES_1.1_20251001_20260930_20251001_ooox_11613.docx;tabs
202604;Bestellvorgang/QUOTES;15002;Angebot Abrechnung Messstellenbetrieb MSB;20;51;43;0;93;AHB_QUOTES_1.1_20251001_20260930_20251001_ooox_11613.docx;tabs
202604;Bestellvorgang/QUOTES;15003;Angebot zur Anfrage von Werten;26;72;64;0;128;AHB_QUOTES_1.1_20251001_20260930_20251001_ooox_11613.docx;tabs
202604;Bestellvorgang/QUOTES;15004;Angebot einer Konfiguration;32;79;59;0;138;AHB_QUOTES_1.1_20251001_20260930_20251001_ooox_11613.docx;tabs
202604;Bestellvorgang/QUOTES;15005;Angebot Änderung Technik;33;88;61;0;140;AHB_QUOTES_1.1_20251001_20260930_20251001_ooox_11613.docx;tabs
202604;Bestellvorgang/REQOTE;35001;Anfrage Geräteübernahmeangebot;13;31;29;0;61;AHB_REQOTE_1.1_20251001_20260930_20251001_ooox_11622.docx;tabs
202604;Bestellvorgang/REQOTE;35002;Anfrage Rechnungsabwicklung MSB über LF;14;34;29;0;63;AHB_REQOTE_1.1_20251001_20260930_20251001_ooox_11622.docx;tabs
202604;Bestellvorgang/REQOTE;35003;Anfrage von Werten;21;51;38;0;91;AHB_REQOTE_1.1_20251001_20260930_20251001_ooox_11622.docx;tabs
202604;Bestellvorgang/REQOTE;35004;Anfrage einer Konfiguration;34;80;60;0;147;AHB_REQOTE_1.1_20251001_20260930_20251001_ooox_11622.docx;tabs
202604;Bestellvorgang/REQOTE;35005;Anfrage Angebot Änderung Technik;25;60;46;0;108;AHB_REQOTE_1.1_20251001_20260930_20251001_ooox_11622.docx;tabs
202604;Bewegungsdaten/MSCONS;13002;Zählerstand (Gas);27;65;115;0;191;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13003;Summen-zeitreihe;18;46;42;0;102;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13005;EEG-Überführungs-ZR;21;54;41;0;110;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13006;Messwert Storno;12;30;35;0;84;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13007;Gasbeschaffenheit;23;57;101;0;167;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13008;"Lastgang
(Gas)";24;58;113;0;181;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13009;Energiemenge (Gas);23;55;111;0;177;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13010;normiertes Profil;17;43;35;0;93;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13011;Profilschar;16;40;34;0;90;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13012;TEP vergh. Werte Referenz-messung;17;43;35;0;93;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13013;marktlokations- scharfe Allokationsliste Gas (MMMA);18;48;38;0;101;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13014;marktlokations- scharfe bilanzierte Menge Strom / Gas (MMMA);17;42;36;0;97;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13015;Arbeit Leistungs-max. Kalenderjahr vor Lieferbeginn;19;47;42;0;104;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
202604;Bewegungsdaten/MSCONS;13016;Energie-menge u. Leistungs-max. (Strom);22;53;98;0;163;AHB_MSCONS_3.1g_20260401_20260930_20260401_ooox_11931.docx;nested
